"Authors,""Author full names"",""Author(s) ID"",""Title"",""Year"",""Source title"",""Volume"",""Issue"",""Art. No."",""Page start"",""Page end"",""Page count"",""Cited by"",""DOI"",""Link"",""Abstract"",""Author Keywords"",""Index Keywords"",""Document Type"",""Publication Stage"",""Open Access"",""Source"",""EID""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De Luca E.; Nardi C.; Giuffrida L.G.; Krug M.; Di Nucci M.R.,""De Luca, Elena (35113005200)"; Nardi, Cecilia (57216628143); Giuffrida, Laura Gaetana (58583463300); Krug, Michael (7005071073);" Di Nucci, Maria Rosaria (14323062100)"",""35113005200";57216628143;58583463300;7005071073;" 14323062100"",""Explaining factors leading to community acceptance of wind energy. Results of an expert assessment"",""2020"",""Energies"",""13"",""8"",""2119"","""","""","""",""21"",""10.3390/en13082119"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084113147&doi=10.3390%2fen13082119&partnerID=40&md5=6544de14c528ecb50eb43e5b7fbe61ff"",""The present article deals with two key drivers of social acceptance of wind energy: procedural justice and distributional justice. It is based on a comparative expert assessment carried out in the frame of the Horizon 2020 project WinWind covering six European countries. The focus of the paper is on procedural and financial participation of citizens and local stakeholders in wind energy projects. The first part covers institutional arrangements for public engagement in two areas of the decision-making process-wind turbine zoning/siting in spatial plans and authorization procedures. Here, three levels of public involvement-information, consultation and participation-were analyzed. The second part examines active and financial participation of citizens and local stakeholders. Here, we distinguish between two different modes of governance: institutionalized forms of public governance and voluntary forms of corporate governance. The outcomes suggest that concrete paths to the social acceptance of wind energy are fostered via appropriate institutional spaces for public engagement. Furthermore, missing opportunities for active and passive financial participation can have strong negative consequences for community acceptance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/)."",""Participation"; Public involvement; Social acceptance;" Wind energy"",""Decision making"; Finance; Public policy; Social aspects; Authorization procedure; Corporate governance; Decision making process; European Countries; Institutional arrangement; Procedural justice; Public involvement; Wind energy projects;" Wind power"",""Article"",""Final"",""All Open Access";" Gold Open Access"",""Scopus"",""2-s2.0-85084113147""";;;;;;;;;;;;;;;;
"Cowell R.; Bristow G.; Munday M.,""Cowell, Richard (7005031834)"; Bristow, Gill (56257190500);" Munday, Max (7005612035)"",""7005031834";56257190500;" 7005612035"",""Acceptance,acceptability and environmental justice:The role of community benefits in wind energy development"",""2011"",""Journal of Environmental Planning and Management"",""54"",""4"","""",""539"",""557"",""18"",""305"",""10.1080/09640568.2010.521047"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953868785&doi=10.1080%2f09640568.2010.521047&partnerID=40&md5=411bc85ca6090a2edc7226b376196b45"",""Conflict around wind farm development has stimulated interest in 'community benefits' - the provision of financial or material benefits by the developers to the area affected by these facilities. By and large, both policy makers and researchers have couched the rationale for community benefits in instrumental terms, i.e. that an increased flow of community benefits will improve the social acceptability of these facilities and thereby expedite planning consent. This paper questions this conventional rationale. Proponents of this rationale neglect the institutionally structured terrain of the planning process"; the provision of community benefits can shift in significance depending on whether or not the 'affected community' has any significant influence over wind farm projects. Similarly, our discourse analysis conducted in Wales shows that community benefits are seen predominantly as compensation for impacts, without any clear implication that they should change social attitudes. Our conclusion is that the dominant, instrumental rationale for community benefits obscures other, equally important justifications:the role of community benefits in promoting environmental justice;" and how flows of community benefits might better serve the long-term sustainability of wind farm development areas. © 2011 University of Newcastle upon Tyne."",""Community"; Compensation; Justice; Planning;" Renewable energy"",""United Kingdom"; Wales; community development; energy planning; environmental justice; institutional framework; policy making; public attitude; renewable resource; sustainability; wind farm;" wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-79953868785""";;;;;;;;;;;;;;;;;;;
"Armeni C.,""Armeni, Chiara (55619040900)"",""55619040900"",""Participation in environmental decision-making: Reflecting on planning and community benefits for major wind farms"",""2016"",""Journal of Environmental Law"",""28"",""3"","""",""415"",""441"",""26"",""44"",""10.1093/jel/eqw021"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021180600&doi=10.1093%2fjel%2feqw021&partnerID=40&md5=d1f0ad6f887065fff6cd44964d6bbb57"",""The notion of public participation in environmental decision-making remains ambiguous and unsettled. This article critically reflects on the conceptual nature of participation, focusing on wind energy developments. It points to an overlooked, but conceptually significant, distinction between models of engagement directed to 'participation' and those aimed at 'public acceptance'. By simply offering a shadow of participation, models of public acceptance are problematic and make the normative and substantive justification of the decision inevitably more fragile. Analysing two major wind projects in England and Wales and their underlying legal and policy framework, the article explores the role of mitigation measures and the under-researched potential for developer-led community benefits to provide participatory space. In the light of logic of acceptance, it suggests that the participatory orientation of mitigation measures within planning law should be acknowledged and strengthened, while the potential for community benefits to constitute alternative fora for community participation should be explored. © The Author 2016."",""Acceptance"; Community benefits; Mitigation; Planning; Public participation;" Wind energy"",""England"; United Kingdom; Wales; decision making; environmental planning; local participation; participatory approach; wind farm;" wind power"",""Article"",""Final"",""All Open Access"; Bronze Open Access;" Green Open Access"",""Scopus"",""2-s2.0-85021180600""";;;;;;;;;;;;;;;;;;;;;;;;;
"Kaldellis J.K.; Kapsali M.; Kaldelli E.; Katsanou E.,""Kaldellis, J.K. (7003349885)"; Kapsali, M. (36105875200); Kaldelli, El. (25636060700);" Katsanou, Ev. (54926396300)"",""7003349885";36105875200;25636060700;" 54926396300"",""Comparing recent views of public attitude on wind energy, photovoltaic and small hydro applications"",""2013"",""Renewable Energy"",""52"","""","""",""197"",""208"",""11"",""108"",""10.1016/j.renene.2012.10.045"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869871546&doi=10.1016%2fj.renene.2012.10.045&partnerID=40&md5=f360908f71d99c837b6fb973ea9f1434"",""As renewable energy projects have gradually been introduced in various forms and in many places around the world, public skepticism on these developments has emerged and siting decisions have, in several cases, been determined by intense conflicts and debate. In this context, the present study focuses on the assessment of the levels of public acceptability for existing and new renewable energy projects, namely wind farms, small hydro and photovoltaics (PVs), in a representative region of Southern Greece. A point of particular interest in this survey is the adverse environmental conditions and poor air quality existing in the area under investigation, resulting from the long-term operation of a lignite-based thermal power station. A postal, three-part survey has been conducted based on a representative sample of local inhabitants. According to the results obtained, high levels of acceptability for existing and new projects have been encountered for all technologies examined. Interestingly, better results concerned PV applications, with the positive trend towards new projects being illustrated by the high percentage of about 85%. Similarly, wind and hydro energy applications demonstrate high acceptability of the order of 80%. Furthermore, local habitants' experience on already operating renewable energy projects in the region has also designated their """" tolerance"""" on the main environmental impacts of these technologies (visual, noise, land occupation etc.). However, this survey also reveals a specific minority of people that are opposed to renewable energy applications, either disregarding any environmental, social and financial benefits or just weighing benefits less heavily than the reasons of opposition. © 2012 Elsevier Ltd."",""Environmental impacts"; Land usage; Noise impact; Questionnaires; Renewable energy sources (RES);" Visual impact"",""Greece"; Air quality; Electric utilities; Environmental impact; Noise pollution; Surveys; Thermoelectric power plants; Wind power; Land usage; Noise impact; Questionnaires; Renewable energy source; Visual impacts; air quality; attitudinal survey; comparative study; decision making; environmental conditions; environmental impact assessment; hydroelectric power; land use change; lignite; perception; photovoltaic system; power plant; public attitude; renewable resource; thermal power; wind farm;" Energy policy"",""Article"",""Final"","""",""Scopus"",""2-s2.0-84869871546"""
"Syal S.M.; Ding Y.; MacDonald E.F.,""Syal, Sita M. (57212271094)"; Ding, Yiqing (57212273760);" MacDonald, Erin F. (24341556300)"",""57212271094";57212273760;" 24341556300"",""Agent-Based modeling of decisions and developer actions in wind farm landowner contract acceptance"",""2020"",""Journal of Mechanical Design"",""142"",""9"",""091403"","""","""","""",""6"",""10.1115/1.4047153"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096541126&doi=10.1115%2f1.4047153&partnerID=40&md5=8abfd8809c5dfb78569388facc3779a5"",""This paper presents an agent-based model to investigate interactions between wind farm developers and landowners. Wind farms require hundreds of square miles of land for development and developers typically interact with landowners to lease land for construction and operations. Landowners sign land lease contracts without knowing the turbine layout, which affects aesthetics of property as well as value of the lease contract. Having a turbine placed on one’s land is much more lucrative than alternative land uses, but landowners must sign over the use of their land without knowing whether they will receive this financial benefit or not. This process, typically referred to as “Landowner Acquisition,” is highly uncertain for both stakeholders—a source stated up to 50% of wind projects fail due to landowner acquisition issues. We present an agent-based model to study the landowner acquisition period with unique decision-making characteristics for nine landowners and a developer. Citizen participation is crucial to the acceptance of wind farms";" thus, we use past studies to quantify three actions a developer can take to influence landowners: (1) community engagement meetings, (2) preliminary environmental studies, and (3) sharing the wind turbine layout with the landowner. Results show how landowner acceptance rates can change over time based on what actions the developer takes. While still in the “proof of concept” stage, this model provides a framework for quantifying wind stakeholder interactions and potential developer actions. Suggestions for how to validate the framework in the future are included in the discussion. Copyright © 2020 by ASME."",""Agent-based design"; Sustainable design;" Wind energy"",""Autonomous agents"; Computational methods; Decision making; Electric utilities; Land use; Mergers and acquisitions; Simulation platform; Sustainable development; Agent-based design; Agent-based model; Financial benefits; Land for constructions; Projects fail; Property; Turbine layouts; Wind farm; Wind farm developers; Wind projects;" Wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85096541126""";;;;;;;;;;;;;;;
"Ghorbani A.; Nascimento L.; Filatova T.,""Ghorbani, Amineh (35728654100)"; Nascimento, Leonardo (57218603646);" Filatova, Tatiana (25640733600)"",""35728654100";57218603646;" 25640733600"",""Growing community energy initiatives from the bottom up: Simulating the role of behavioural attitudes and leadership in the Netherlands"",""2020"",""Energy Research and Social Science"",""70"","""",""101782"","""","""","""",""44"",""10.1016/j.erss.2020.101782"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092287854&doi=10.1016%2fj.erss.2020.101782&partnerID=40&md5=3860afcf5302fd9099e5b150f5c73133"",""Local energy initiatives (LEIs) are communities of households who self-organize to meet their energy demand with locally produced green energy. They facilitate citizen participation by developing context-specific solutions, which calls for leadership and complex social dynamics. We present an agent-based simulation model to explore the formation of community energy initiatives from the bottom-up, accounting for social networks and evolution of opinions facilitating or hindering LEIs. Our novel model relies on well-established social theories and uses empirical data on community energy systems in the Netherlands and individual citizens’ preferences. Specifically, our computational model captures behavioural drivers and social value orientations, and relates individuals behavioural traits to aggregated stylized facts about energy initiatives at the community level. The results indicate that when communities lack participants with cooperative orientation, altruistic citizens with prosocial social value orientations become essential for the creation of LEIs, revealing different pathways to achieve public good benefits. Our analysis systematically demonstrate that leaders can be a bottleneck in the LEIs’ formation and that an increase in initiators is conducive to the creation of LEIs. Therefore, policies aiming at increasing the number of community initiatives should target small groups and individuals with the leadership potential, who could lead projects, and explore synergies with wider community benefits. © 2020 The Authors"",""Agent-based modelling"; Collective action; Community energy systems; Leadership; Local energy initiatives; Solar;" Wind energy"","""",""Article"",""Final"",""All Open Access"; Green Open Access;" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85092287854""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stephens S.,""Stephens, Siân (56902265900)"",""56902265900"",""The Social License to Operate Across the Energy Industry: Lessons for Low-Carbon Energy from Oil and Gas"",""2024"",""Sustainability in the Oil and Gas Sector: Adaptation and Mitigation Strategies for Tackling Climate Change"","""","""","""",""125"",""140"",""15"",""0"",""10.1007/978-3-031-51586-6_6"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206047435&doi=10.1007%2f978-3-031-51586-6_6&partnerID=40&md5=2fe45bd6fbf6e3d3ce898839b2f45230"",""The concept of the Social License to Operate (SLO), or the ongoing acceptance and approval of an operation (Parsons and Moffat, Social Epistemology: A Journal of Knowledge, Culture and Policy 28:340-363, 2014), originates from the oil and gas industry (Morrison, The Social License: How to Keep Your Organization Legitimate, Palgrave Macmillan, 2014). The SLO emerged in response to a pressing need for local communities to accept operations relating to the extraction of naturally occurring resources"; the local acceptance of such operations was and remains vital. Naturally occurring resources such as oil and gas are geographically bound, and so the location of the operation depends on the presence of the resource, not on the support of the local population. Further, resource extraction is often highly disruptive and thus the support of the local population may not be easily won. To address this issue, much attention has been devoted to understanding the conditions of local acceptance within the oil and gas industry. As the energy industry diversifies in pursuit of sustainability, many energy companies are seeking to expand their portfolio to renewable sources. Despite their green credentials, new energy projects such as onshore wind farms, nuclear sites, and solar farms often face local opposition. In particular, onshore wind energy faces a significant amount of local resistance (Botetzagias et al., 2015; Horst, 2007) and, in countries such as the UK where local acceptance is required for the approval of new developments, local opposition will have serious implications for the industry. In this chapter, we argue that much can be learned from the experiences of the oil and gas industry and that there are lessons which can be applied to other forms of energy based on naturally occurring resources. This chapter will consider the similarities and differences between the local acceptance challenges faced by the oil and gas industry, and renewable alternatives such as onshore wind. Community engagement and transparency, community benefits, and local content shall all be considered as opportunities for new energy initiatives to gain legitimacy among local communities. Conversely, the experiences of the onshore wind energy industry may offer some useful insights to the oil industry; these insights will also be presented and considered. While there are some concerns regarding the environmental impacts of onshore wind energy (Leung & Yang, 2012;" Phillips, Renewable and Sustainable Energy Reviews 49:1261-1270, 2015), it is generally accepted to be a sustainable source of energy. Therefore, where there is local resistance, this is likely not based on sustainability concerns, but on other, more local issues which the developments have failed to address. An improved understanding of what these concerns are may inform the way in which the oil and gas industry approaches challenges of social acceptance. This well be of great value to both the oil industry and the onshore wind energy sector as governments and consumers seek diversified energy portfolios which make the most of our available resources. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerl and AG 2024."","""","""",""Book chapter"",""Final"","""",""Scopus"",""2-s2.0-85206047435""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Macdonald C.; Glass J.; Creamer E.,""Macdonald, Catriona (57197832533)"; Glass, Jayne (35733722200);" Creamer, Emily (56062260600)"",""57197832533";35733722200;" 56062260600"",""What Is the Benefit of Community Benefits? Exploring Local Perceptions of the Provision of Community Benefits from a Commercial Wind Energy Project"",""2017"",""Scottish Geographical Journal"",""133"",""3-4"","""",""172"",""191"",""19"",""15"",""10.1080/14702541.2017.1406132"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035102033&doi=10.1080%2f14702541.2017.1406132&partnerID=40&md5=63328e0d4fc0fa79eafc2085aa1ead68"",""Where community ownership of renewable energy projects is not feasible, there remains potential for residents to profit from locally sited projects through a ‘community benefits’ package from a commercial developer, usually as an annual cash payment to a community organisation. Despite support from policy-makers and developers for community benefit packages, the relationship between the benefit package and acceptance of renewable energy projects is not straightforward. Drawing on semi-structured interviews with local residents and other community actors near a wind development in central Scotland, this paper examines the ‘process’ and ‘outcome’ dimensions of the design and provision of community benefits, and considers how the relationship between these two dimensions affects local perceptions of the benefit of community benefits. Analysis of interviewees’ perceptions of the community engagement ‘process’ at the planning stage and the community benefit package ‘outcome’ reveals how a poorly defined engagement process, combined with a benefits package that is not deemed suitable for the needs of the community, can lead to negative perceptions of the project, even when these were initially positive. These findings have implications for renewable energy policy in Scotland, particularly as there is currently no legal obligation for developers to consult communities on community benefit arrangements. © 2017 Royal Scottish Geographical Society."",""community benefit"; community energy; community engagement; renewables; Scotland;" wind energy"",""Scotland"; United Kingdom; alternative energy; community organization; energy policy; perception;" wind power"",""Article"",""Final"",""All Open Access";" Green Open Access"",""Scopus"",""2-s2.0-85035102033""";;;;;;;;;;;;;;;;;;;;;;;;
"Lin K.-J.; Hsu C.-P.; Liu H.-Y.,""Lin, Ku-Jung (57218763922)"; Hsu, Chia-Pao (57218768123);" Liu, Hung-Yu (57218766491)"",""57218763922";57218768123;" 57218766491"",""Perceptions of offshore wind farms and community development: Case study of fangyuan township, chunghua county, Taiwan"",""2019"",""Journal of Marine Science and Technology (Taiwan)"",""27"",""5"","""",""427"",""434"",""7"",""3"",""10.6119/JMST.201910_27(5).0005"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090221554&doi=10.6119%2fJMST.201910_27%285%29.0005&partnerID=40&md5=a74c43682ccb4d63f63a14f8489d7a51"",""Surrounded by the ocean, Taiwan has many rich marine cultural resources that have benefited its coastal communities and led to the development of diverse traditional marine industries. A typical example is the unique tradition of """"Sea Buffalos Working in the Oyster Field"""", which has been practiced for over a century in Fangyuan Township of Changhua County. The cultural landscape of buffalos and workers cultivating oyster fields has been recognized as a precious cultural heritage by both local and international parties. However, Fangyuan Township is facing a turning point due to the installation of offshore wind turbines. Development-promoting public agencies and the private sectors are both in need of a new vision of communities in which a viable combination of new, green-energy-based industries and traditional, culture- based industries is allowed to take shape. With that in mind, we reviewed several other localities' experience of green-energy development and its effect on the community. We also analyzed how traditional cultural properties have been incorporated into the tourism industry in Fangyuan Township while also investigating the potential impact of the development of offshore wind farms (OWF) on traditional oyster cultivation there. A series of interviews and meetings with key stakeholders were held to examine, from different points of view, the benefits offered to the community by OWF developers and governmental decision-makers. Our normative case of Fangyuan for providing community benefits by reviving the local culture and encouraging tourism based on both traditional activities and OWF appeared to be received favorably by all involved. © 2019 National Taiwan Ocean University. All rights reserved."",""Community engagement"; Community-based tourism; Green energy development; Offshore Wind Farms (OWF); Stakeholder empowerment;" Traditional industries"",""Decision making"; Electric utilities; Leisure industry; Marine industry; Molluscs; Offshore oil well production; Shellfish; Tourism; Coastal communities; Community development; Cultural heritages; Cultural landscape; Cultural properties; Cultural resources; Potential impacts; Private sectors;" Offshore wind farms"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85090221554""";;;;;;;;;;;;;;;
"Mang-Benza C.; Baxter J.,""Mang-Benza, Carelle (57219146051)";" Baxter, Jamie (7202282439)"",""57219146051";" 7202282439"",""Not paid to dance at the powwow: Power relations, community benefits, and wind energy in M'Chigeeng First Nation, Ontario, Canada"",""2021"",""Energy Research and Social Science"",""82"","""",""102301"","""","""","""",""14"",""10.1016/j.erss.2021.102301"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115397470&doi=10.1016%2fj.erss.2021.102301&partnerID=40&md5=4ea15995e8efa87298268ce8c4f44775"",""The literature on wind energy developments upholds distributional and procedural justice as key drivers of community acceptance of wind turbines. However, this Eurocentric and settler-based literature routinely overlooks Indigenous contexts, causing concern that the energy transition might reproduce the socio-economic inequalities of the fossil fuel era. Through 32 semi-structured interviews conducted within a community-based approach, this paper examines the lived experience of people living with wind turbines in M'Chigeeng First Nation in Ontario, an Indigenous community who owns and operates two wind turbines. We examine what the turbines mean to M'Chigeeng members, how owning the turbines relates to the community's values and goals, and to which extent M'Chigeeng's engagement in renewable energy portends a redefinition of relationships between Indigenous and non-Indigenous people in Canada. The key themes in our findings are acceptance and support of the turbines, intra community communication, the importance of ownership, and relationships. While members expressed the need for clear and up-to-date communication on the project and are yet to see the generated financial benefits, intracommunity tensions remain manageable for the time being, tempered by a general pride from owning the turbines. Connecting relationships to restorative justice and recognition justice, we argue that these latter dimensions are equally, if not more meaningful, than procedural and distributional justice for understanding the meaning of turbines in M'Chigeeng First Nation. This study reaffirms the importance of attending to place histories at the broadest scale in examining communities’ responses to renewable energy, especially in settler countries like Canada. © 2021 The Authors"",""Community ownership"; Indigenous peoples; Restorative justice; Settler colonisation;" Wind energy"","""",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85115397470""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ellis G.; Schneider N.; Wüstenhagen R.,""Ellis, Geraint (7202721521)"; Schneider, Nina (57218236226);" Wüstenhagen, Rolf (55970726900)"",""7202721521";57218236226;" 55970726900"",""Dynamics of social acceptance of renewable energy: An introduction to the concept"",""2023"",""Energy Policy"",""181"","""",""113706"","""","""","""",""43"",""10.1016/j.enpol.2023.113706"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165263390&doi=10.1016%2fj.enpol.2023.113706&partnerID=40&md5=ab01c44087a9ecb62386b5fa685b2a81"",""A step change is needed in the deployment of renewable energy if the triple challenge of ensuring climate change mitigation, energy security, and energy affordability is to be met. Yet, social acceptance of infrastructure projects and policies remains a key concern. While there has been decades of fruitful research on the social acceptance of wind energy and other renewables, much of the extant research is cross-sectional in nature, failing to capture the important dynamic processes that can make or break renewable energy projects. This paper introduces a Special Issue of Energy Policy which focusses on the neglected topic of the dynamics of social acceptance of renewable energy, drawing on contributions made at an international research conference held in St. Gallen (Switzerland) in June 2022. In addition to introducing these papers and drawing out common themes, we also seek to offer some conceptual clarity on the issue of dynamics in social acceptance, taking into account the influence of time, power, and scale in shaping decision-making processes. We conclude by highlighting a number of avenues of potential future research. © 2023 Elsevier Ltd"",""Financial participation"; Longitudinal research; Power dynamics; Renewable energy; Social acceptance;" Wind power"","""",""Editorial"",""Final"","""",""Scopus"",""2-s2.0-85165263390""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Johansen K.; Emborg J.,""Johansen, K. (57201269138)";" Emborg, J. (6603494347)"",""57201269138";" 6603494347"",""Wind farm acceptance for sale? Evidence from the Danish wind farm co-ownership scheme"",""2018"",""Energy Policy"",""117"","""","""",""413"",""422"",""9"",""56"",""10.1016/j.enpol.2018.01.038"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044139748&doi=10.1016%2fj.enpol.2018.01.038&partnerID=40&md5=94053f6f550436bc7310d3855af6fc0c"",""The Danish Renewable Energy Act features several financial incentive structures with direct local-level implications. One of these is the wind farm co-ownership scheme, OPSS. In this study, we explore local perceptions of OPSS via survey-data collected during the Danish near-shore bid for tender in 2015 from almost 2000 respondents. Empirical evidence suggests that demographic facts, such as gender and age, influence the general appeal of the scheme, and as engagement in wind-projects via OPSS presupposes investment liquidity, OPSS is not equal for all. Furthermore, most potential OPSS-investors already support the planned wind farm projects, and many project opponents will not engage themselves in something they are against in principle. Finally, economic benefits potentially gained via OPSS do not appear to compensate for values feared violated by wind farms by many wind farm project stakeholders. While OPSS is a very positive policy attempt at creating local engagement via wind farm co-ownership, it is clear that the scheme alone will not adequately compensate for local wind farm related grievances. Real world facts and complications, such as demographics, preconceived project perceptions and personal values, get in the way. Implications of the study for related policies are discussed. © 2018 Elsevier Ltd"",""Community benefits"; Energy policy; Incentive schemes; Renewable energy; Wind farm co-ownership;" Wind farm planning"",""Denmark"; Economics; Electric utilities; Energy policy; Investments; Population statistics; Wind power; Community benefit; Financial incentives; Incentive schemes; Incentive structure; Nearshores; Renewable energies; Survey data; Wind farm; Wind farm co-ownership; Wind farm planning; alternative energy; empirical analysis; energy policy; incentive; local participation; ownership; perception; wind farm; wind power;" Surveys"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85044139748""";;;;;;;
"van den Berg K.; Tempels B.,""van den Berg, Kimo (57875802000)";" Tempels, Barbara (56399327900)"",""57875802000";" 56399327900"",""The role of community benefits in community acceptance of multifunctional solar farms in the Netherlands"",""2022"",""Land Use Policy"",""122"","""",""106344"","""","""","""",""19"",""10.1016/j.landusepol.2022.106344"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137283183&doi=10.1016%2fj.landusepol.2022.106344&partnerID=40&md5=88379da3f8852fecbc26e3a2c0ac17e0"",""While solar farm developments contribute to sustainable energy goals, they often face high levels of local opposition due to their expected negative impacts on the direct environment. Community benefits are a promising tool to reduce local opposition, as they have proven to do so in wind farm developments. By adding multiple functions to a solar farm, benefits for the local community - other than sustainable energy production - can be generated. However, also examples exist where community benefits have not managed to reduce levels of opposition. Therefore, this research aims to understand the role of community benefits in community acceptance of multifunctional solar farm developments through case studies in the Netherlands. The research consists of two phases: an exploratory phase through desk research mapping multifunctional solar farm developments in the Netherlands and an explanatory phase, analysing why community benefits are implemented and how they affect community acceptance, done through interviews. The results show that a key factor determining if community benefits contribute to community acceptance is the extent to which these benefits meet the experienced needs of a community. The degree to which solar farm developments succeed in meeting these needs depends on the motives and interest of developers to provide benefits, the history and context of the location and the level of community involvement. When the community feels like the benefits meet their needs, community acceptance is increased. However, when the compensation offered does not meet these needs, it negatively influences trust and thus leads to more resistance. © 2022 The Authors"",""Community acceptance"; Community benefits; Community involvement; Land sharing; Multifunctionality;" Solar farm"",""Netherlands"; alternative energy; energy management; local participation; solar power;" wind farm"",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85137283183""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"le Maitre J.; Ryan G.; Power B.; O'Connor E.,""le Maitre, Julia (58000339900)"; Ryan, Geraldine (14007511400); Power, Bernadette (56111166300);" O'Connor, Ellen (57999689400)"",""58000339900";14007511400;56111166300;" 57999689400"",""Empowering onshore wind energy: A national choice experiment on financial benefits and citizen participation"",""2023"",""Energy Policy"",""173"","""",""113362"","""","""","""",""19"",""10.1016/j.enpol.2022.113362"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143679344&doi=10.1016%2fj.enpol.2022.113362&partnerID=40&md5=774a8b69af33255a3699d3621d917a44"",""This paper examines a representative choice experiment for Ireland (n = 1014) to understand the trade-offs citizens are willing to make between the distribution of financial benefits from a nearby wind farm and procedural measures for citizen participation in decision-making. Both participatory processes and outcomes which recognise local impacts are necessary for the acceptance of onshore wind farms. This paper distinguishes between shared community benefit funds, near-neighbour compensation, and citizen investment relative to issues of ownership, modes of engagement and the management of financial benefits during siting, construction, and operation of a wind farm respectively. Citizens willing to accept place greater importance on factors associated with distributive and procedural justice, while proximity and related visual impacts have comparatively more importance for citizens unwilling to accept. Willingness to accept is associated with early, in-person, engagement with a community liaison officer during siting and citizen participation in the governance and distribution of financial benefits during operation. However, citizens who show conditional support for wind farm developments prefer compensation of near-neighbour households, semi-state developers, and town hall engagement meetings. Strong supporters are more influenced by financial benefits for the wider community and local (co-)ownership of wind farms, particularly joint ventures between the developer and community. © 2022 Elsevier Ltd"",""Choice experiment"; Citizen participation; Distributive justice; Financial benefits; Willingness to accept;" Wind energy"",""Ireland"; Economic and social effects; Electric utilities; Farms; Investments; Wind power; Choice experiments; Citizen's participations; Distributive justice; Financial benefits; Ireland; Nearest-neighbour; Onshore winds; Trade off; Willingness to accept; Wind farm; energy management; energy policy; experimental study; financial services; local participation; willingness to pay; wind power;" Decision making"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85143679344""";;;;;;
